thickness,ltt_name,adb,laser_power,material_type,machine_type,feedrate,focal_position,gas_pressure,failure
50,ST050MD4-N2S0-30-2,0.5,6000,S235JR,L26,9,0.6,21,1
50,ST050MD4-N2S0-30-2,2,6000,S235JR,L26,9,-3.8,16,1
50,ST050MD4-N2S0-30-2,2.5,6000,S235JR,L26,9,-3.8,16,1
50,ST050MD4-N2S0-30-2,2,6000,S235JR,L26,9,-2.85,18.5,1
50,ST050MD4-N2S0-30-2,2.5,6000,S235JR,L26,9,-2.85,18.5,1
50,ST050MD4-N2S0-30-2,0.5,6000,S235JR,L26,9,0.6,18.5,1
50,ST050MD4-N2S0-30-2,0.5,6000,S235JR,L26,9,-3.8,18.5,1
50,ST050MD4-N2S0-30-2,0.5,6000,S235JR,L26,9,-2.85,16,1
50,ST050MD4-N2S0-30-2,1,6000,S235JR,L26,9,-2.85,21,1
50,ST050MD4-N2S0-30-2,1.5,6000,S235JR,L26,9,-2.85,21,1
50,ST050MD4-N2S0-30-2,2,6000,S235JR,L26,9,0.6,18.5,1
50,ST050MD4-N2S0-30-2,2.5,6000,S235JR,L26,9,0.6,18.5,1
50,ST050MD4-N2S0-30-2,2,6000,S235JR,L26,9,-3.8,11.5,1
50,ST050MD4-N2S0-30-2,2.5,6000,S235JR,L26,9,-3.8,11.5,1
50,ST050MD4-N2S0-30-2,1,6000,S235JR,L26,9,-2.85,18.5,1
50,ST050MD4-N2S0-30-2,1.5,6000,S235JR,L26,9,-2.85,18.5,1
50,ST050MD4-N2S0-30-2,2.5,6000,S235JR,L26,9,-3.8,18.5,1
50,ST050MD4-N2S0-30-2,0.5,6000,S235JR,L26,9,0.6,16,1
50,ST050MD4-N2S0-30-2,2,6000,S235JR,L26,9,-3.8,18.5,1
50,ST050MD4-N2S0-30-2,1,6000,S235JR,L26,9,0.6,21,1
50,ST050MD4-N2S0-30-2,1.5,6000,S235JR,L26,9,0.6,21,1
50,ST050MD4-N2S0-30-2,1,6000,S235JR,L26,9,-3.8,21,1
50,ST050MD4-N2S0-30-2,1.5,6000,S235JR,L26,9,-3.8,21,1
50,ST050MD4-N2S0-30-2,1,6000,S235JR,L26,9,0.6,18.5,1
50,ST050MD4-N2S0-30-2,1.5,6000,S235JR,L26,9,0.6,18.5,1
50,ST050MD4-N2S0-30-2,1.5,6000,S235JR,L26,9,-0.65,11.5,1
50,ST050MD4-N2S0-30-2,1,6000,S235JR,L26,9,-3.8,18.5,1
50,ST050MD4-N2S0-30-2,1.5,6000,S235JR,L26,9,-3.8,18.5,1
50,ST050MD4-N2S0-30-2,1.5,6000,S235JR,L26,9,-1.9,18.5,1
50,ST050MD4-N2S0-30-2,1.5,6000,S235JR,L26,9,-2.85,16,1
50,ST050MD4-N2S0-30-2,1.5,6000,S235JR,L26,9,-0.65,21,1
50,ST050MD4-N2S0-30-2,0.5,6000,S235JR,L26,9,0.6,11.5,1
50,ST050MD4-N2S0-30-2,2,6000,S235JR,L26,9,-2.85,21,1
50,ST050MD4-N2S0-30-2,2.5,6000,S235JR,L26,9,-2.85,21,1
50,ST050MD4-N2S0-30-2,0.5,6000,S235JR,L26,9,-3.8,11.5,1
50,ST050MD4-N2S0-30-2,0.5,6000,S235JR,L26,9,-1.9,21,1
50,ST050MD4-N2S0-30-2,0.5,6000,S235JR,L26,9,-3.8,21,1
50,ST050MD4-N2S0-30-2,1,6000,S235JR,L26,9,0.6,16,1
50,ST050MD4-N2S0-30-2,1.5,6000,S235JR,L26,9,0.6,16,1
50,ST050MD4-N2S0-30-2,0.5,6000,S235JR,L26,9,-1.9,18.5,1
50,ST050MD4-N2S0-30-2,1,6000,S235JR,L26,9,-3.8,16,1
50,ST050MD4-N2S0-30-2,1.5,6000,S235JR,L26,9,-3.8,16,1
50,ST050MD4-N2S0-30-2,0.5,6000,S235JR,L26,9,-0.65,21,1
